iter	Logloss
0	0.6687063337
1	0.6485634068
2	0.6317912249
3	0.6180016044
4	0.606172154
5	0.5965711496
6	0.5885125558
7	0.5816151646
8	0.5757282366
9	0.5706494141
10	0.5664860142
11	0.5628710937
12	0.5597236328
13	0.556996303
14	0.5547505929
15	0.5527406878
16	0.5509791434
17	0.5496126883
18	0.5481903599
19	0.5469841657
20	0.546055106
21	0.5450267857
22	0.5441671666
23	0.5434515555
24	0.5427433733
25	0.5421452288
26	0.541650565
27	0.5411261161
28	0.5406870815
29	0.5402517787
30	0.53986649
31	0.5394403251
32	0.5391793039
33	0.5388761161
34	0.5386621094
35	0.5384714704
36	0.5382417341
37	0.5379909668
38	0.5377795759
39	0.5375253557
40	0.5372655552
41	0.5370932268
42	0.5368920201
43	0.5367041016
44	0.536561942
45	0.5363646415
46	0.5362324568
47	0.5360806013
48	0.5359655413
49	0.5358472028
50	0.5356781529
51	0.5355392369
52	0.5353913225
53	0.5352605329
54	0.5351348354
55	0.5349916992
56	0.5349030064
57	0.5347856445
58	0.5347052874
59	0.5346093401
60	0.5345090681
61	0.5344517997
62	0.5343297991
63	0.5342315151
64	0.5341174665
65	0.5340516532
66	0.533995745
67	0.5339569266
68	0.5338939035
69	0.5338190569
70	0.5337684849
71	0.5337366769
72	0.5335923898
73	0.5334848633
74	0.533429827
75	0.5333345773
76	0.5332645089
77	0.5331823382
78	0.5331451242
79	0.5330477818
80	0.5329674944
81	0.5328557826
82	0.5328046526
83	0.532730957
84	0.5327125419
85	0.5326563895
86	0.5326296387
87	0.5325713937
88	0.5324854213
89	0.5324304897
90	0.5323942522
91	0.5323465402
92	0.5322922712
93	0.5322566964
94	0.5321996722
95	0.5321613421
96	0.5320911342
97	0.5320603376
98	0.5320391671
99	0.5319501256
