iter	Passed	Remaining
0	109	10815
1	114	5602
2	122	3964
3	129	3118
4	134	2564
5	139	2183
6	147	1955
7	151	1746
8	156	1579
9	160	1447
10	165	1337
11	173	1270
12	178	1193
13	183	1124
14	188	1070
15	193	1018
16	202	987
17	207	944
18	213	908
19	218	875
20	223	839
21	228	810
22	233	782
23	238	754
24	245	736
25	250	713
26	258	697
27	263	676
28	267	654
29	275	641
30	280	624
31	285	607
32	292	592
33	296	575
34	302	561
35	306	545
36	311	529
37	318	520
38	323	505
39	328	492
40	334	481
41	339	469
42	348	461
43	353	449
44	362	443
45	367	431
46	373	420
47	379	410
48	383	399
49	390	390
50	395	379
51	399	369
52	405	359
53	410	349
54	419	342
55	423	332
56	427	322
57	433	313
58	437	304
59	442	295
60	447	286
61	452	277
62	457	268
63	462	260
64	467	251
65	471	243
66	476	234
67	481	226
68	486	218
69	490	210
70	495	202
71	500	194
72	505	186
73	510	179
74	515	171
75	521	164
76	532	159
77	544	153
78	555	147
79	560	140
80	567	133
81	574	126
82	580	118
83	587	111
84	593	104
85	600	97
86	607	90
87	614	83
88	620	76
89	627	69
90	633	62
91	643	55
92	650	48
93	657	41
94	662	34
95	666	27
96	671	20
97	676	13
98	681	6
99	687	0
